"Job","Clocked In","Clocked Out","Duration","Comment","Tags","Breaks","Adjustments","TotalTimeAdjustment","TotalEarningsAdjustment"
"Code With Andrea","28/01/2019 20:15","28/01/2019 20:30","0.25","","","","","",""
"Code With Andrea","01/02/2019 11:00","01/02/2019 11:30","0.5","","YouTube Production","","","",""
"Code With Andrea","01/02/2019 12:00","01/02/2019 12:35","0.58","","Flutter Firebase Course","","","",""
"Code With Andrea","01/02/2019 13:50","01/02/2019 14:45","0.92","","Flutter Firebase Course","","","",""
"Code With Andrea","04/02/2019 10:45","04/02/2019 12:35","1.83","","Flutter Firebase Course","","","",""
"Code With Andrea","04/02/2019 13:30","04/02/2019 17:30","4","","Flutter Firebase Course","","","",""
"Code With Andrea","05/02/2019 20:30","05/02/2019 22:00","1.5","","Development","","","",""
"Code With Andrea","07/02/2019 21:30","07/02/2019 22:30","1","","Flutter Firebase Course","","","",""
"Code With Andrea","08/02/2019 08:45","08/02/2019 09:30","0.75","","YouTube Production","","","",""
"Code With Andrea","08/02/2019 09:45","08/02/2019 11:10","1.42","","Flutter Firebase Course","","","",""
"Code With Andrea","08/02/2019 11:10","08/02/2019 12:05","0.92","","Flutter Firebase Course","","","",""
"Code With Andrea","08/02/2019 13:55","08/02/2019 15:20","1.42","","Flutter Firebase Course","","","",""
"Code With Andrea","08/02/2019 15:20","08/02/2019 16:30","1.17","","Flutter Firebase Course","","","",""
"Code With Andrea","10/02/2019 10:30","10/02/2019 11:00","0.5","","Flutter Firebase Course","","","",""
"Code With Andrea","11/02/2019 08:55","11/02/2019 12:00","3.08","","Flutter Firebase Course","","","",""
"Code With Andrea","11/02/2019 12:45","11/02/2019 14:15","1.5","","Flutter Firebase Course","","","",""
"Code With Andrea","11/02/2019 14:20","11/02/2019 15:30","1.17","","Flutter Firebase Course","","","",""
"Code With Andrea","12/02/2019 21:30","12/02/2019 22:00","0.5","","","","","",""
"Code With Andrea","12/02/2019 22:00","12/02/2019 22:30","0.5","","Community engagement","","","",""
"Code With Andrea","17/02/2019 22:00","17/02/2019 23:00","1","","","","","",""
"Code With Andrea","20/02/2019 16:40","20/02/2019 17:15","0.58","","Flutter Firebase Course","","","",""
"Code With Andrea","25/02/2019 08:30","25/02/2019 10:00","1.5","","Flutter Firebase Course","","","",""
"Code With Andrea","25/02/2019 10:00","25/02/2019 13:20","3.33","","Flutter Firebase Course","","","",""
"Code With Andrea","25/02/2019 15:30","25/02/2019 16:50","1.33","","Flutter Firebase Course","","","",""
"Code With Andrea","27/02/2019 08:20","27/02/2019 09:45","1.42","","Flutter Firebase Course","","","",""
"Code With Andrea","27/02/2019 14:30","27/02/2019 17:15","2.75","","YouTube Production","","","",""
"Code With Andrea","03/03/2019 09:00","03/03/2019 10:00","1","","Community engagement","","","",""
"Code With Andrea","03/03/2019 13:30","03/03/2019 14:30","1","","Community engagement","","","",""
"Code With Andrea","03/03/2019 21:10","03/03/2019 22:10","1","","YouTube Production","","","",""
"Code With Andrea","04/03/2019 10:30","04/03/2019 11:30","1","","Community engagement","","","",""
"Code With Andrea","04/03/2019 11:30","04/03/2019 12:30","1","","Flutter Firebase Course","","","",""
"Code With Andrea","04/03/2019 14:00","04/03/2019 15:00","1","","Flutter Firebase Course","","","",""
"Code With Andrea","04/03/2019 20:30","04/03/2019 22:00","1.5","","Community engagement","","","",""
"Code With Andrea","05/03/2019 20:30","05/03/2019 23:00","2.5","","Community engagement","","","",""
"Code With Andrea","06/03/2019 06:15","06/03/2019 06:45","0.5","","Community engagement","","","",""
"Code With Andrea","06/03/2019 06:45","06/03/2019 07:30","0.75","","Flutter Firebase Course","","","",""
"Code With Andrea","06/03/2019 08:30","06/03/2019 09:00","0.5","","Development","","","",""
"Code With Andrea","06/03/2019 09:00","06/03/2019 11:35","2.58","","Flutter Firebase Course","","","",""
"Code With Andrea","06/03/2019 11:35","06/03/2019 12:15","0.67","","Flutter Firebase Course","","","",""
"Code With Andrea","06/03/2019 13:00","06/03/2019 14:45","1.75","","Flutter Firebase Course","","","",""
"Code With Andrea","06/03/2019 14:45","06/03/2019 15:20","0.58","","YouTube Production","","","",""
"Code With Andrea","06/03/2019 15:25","06/03/2019 16:00","0.58","","Flutter Firebase Course","","","",""
"Code With Andrea","06/03/2019 21:00","06/03/2019 22:05","1.08","","Community engagement","","","",""
"Code With Andrea","09/03/2019 14:20","09/03/2019 15:55","1.58","","Flutter Firebase Course","","","",""
"Code With Andrea","09/03/2019 22:30","09/03/2019 23:00","0.5","","","","","",""
"Code With Andrea","10/03/2019 17:00","10/03/2019 17:30","0.5","","","","","",""
"Code With Andrea","10/03/2019 21:00","10/03/2019 22:00","1","","Blogging","","","",""
"Code With Andrea","11/03/2019 09:05","11/03/2019 09:30","0.42","","Flutter Firebase Course","","","",""
"Code With Andrea","11/03/2019 09:30","11/03/2019 11:00","1.5","","Flutter Firebase Course","","","",""
"Code With Andrea","11/03/2019 16:00","11/03/2019 17:10","1.17","","Flutter Firebase Course","","","",""
"Code With Andrea","12/03/2019 20:15","12/03/2019 22:00","1.75","","","","","",""
"Code With Andrea","13/03/2019 20:30","13/03/2019 21:00","0.5","","","","","",""
"Code With Andrea","14/03/2019 22:25","14/03/2019 23:55","1.5","","Development","","","",""
"Code With Andrea","15/03/2019 09:00","15/03/2019 09:15","0.25","","Flutter Firebase Course","","","",""
"Code With Andrea","15/03/2019 10:00","15/03/2019 12:35","2.58","","Flutter Firebase Course","","","",""
"Code With Andrea","15/03/2019 13:15","15/03/2019 16:30","3.25","","Flutter Firebase Course","","","",""
"Code With Andrea","15/03/2019 16:30","15/03/2019 17:25","0.92","","","","","",""
"Code With Andrea","18/03/2019 08:25","18/03/2019 09:20","0.92","","","","","",""
"Code With Andrea","18/03/2019 09:20","18/03/2019 11:15","1.92","","Flutter Firebase Course","","","",""
"Code With Andrea","18/03/2019 11:20","18/03/2019 12:30","1.17","","Flutter Firebase Course","","","",""
"Code With Andrea","18/03/2019 13:30","18/03/2019 15:55","2.42","","Flutter Firebase Course","","","",""
"Code With Andrea","18/03/2019 15:55","18/03/2019 16:25","0.5","","Development","","","",""
"Code With Andrea","22/03/2019 09:20","22/03/2019 11:55","2.58","","Flutter Firebase Course","","","",""
"Code With Andrea","22/03/2019 22:00","22/03/2019 23:00","1","","Flutter Firebase Course","","","",""
"Code With Andrea","25/03/2019 09:35","25/03/2019 11:05","1.5","","Flutter Firebase Course","","","",""
"Code With Andrea","25/03/2019 11:05","25/03/2019 12:20","1.25","","Flutter Firebase Course","","","",""
"Code With Andrea","25/03/2019 14:30","25/03/2019 16:25","1.92","","Flutter Firebase Course","","","",""
"Code With Andrea","25/03/2019 21:00","25/03/2019 22:30","1.5","","Community engagement","","","",""
"Code With Andrea","26/03/2019 21:30","26/03/2019 22:00","0.5","","Flutter Firebase Course","","","",""
"Code With Andrea","28/03/2019 21:00","28/03/2019 21:45","0.75","","Community engagement","","","",""
"Code With Andrea","29/03/2019 09:05","29/03/2019 11:25","2.33","","Flutter Firebase Course","","","",""
"Code With Andrea","29/03/2019 11:25","29/03/2019 11:45","0.33","","Flutter Firebase Course","","","",""
"Code With Andrea","29/03/2019 14:00","29/03/2019 14:10","0.17","","Flutter Firebase Course","","","",""
"Code With Andrea","01/04/2019 09:00","01/04/2019 09:20","0.33","","Flutter Firebase Course","","","",""
"Code With Andrea","01/04/2019 09:20","01/04/2019 12:45","3.42","","Flutter Firebase Course","","","",""
"Code With Andrea","01/04/2019 15:00","01/04/2019 17:15","2.25","","Flutter Firebase Course","","","",""
"Code With Andrea","01/04/2019 21:35","01/04/2019 22:35","1","","Flutter Firebase Course","","","",""
"Code With Andrea","04/04/2019 09:20","04/04/2019 11:35","2.25","","Flutter Firebase Course","","","",""
"Code With Andrea","04/04/2019 11:35","04/04/2019 12:20","0.75","","Flutter Firebase Course","","","",""
"Code With Andrea","04/04/2019 14:00","04/04/2019 15:10","1.17","","Flutter Firebase Course","","","",""
"Code With Andrea","04/04/2019 16:00","04/04/2019 17:40","1.67","","Flutter Firebase Course","","","",""
"Code With Andrea","04/04/2019 20:45","04/04/2019 22:00","1.25","","Development","","","",""
"Code With Andrea","05/04/2019 20:40","05/04/2019 21:50","1.17","","Development","","","",""
"Code With Andrea","06/04/2019 20:45","06/04/2019 22:00","1.25","","Development","","","",""
"Code With Andrea","07/04/2019 21:00","07/04/2019 22:30","1.5","","Development","","","",""
"Code With Andrea","08/04/2019 08:30","08/04/2019 09:05","0.58","","Flutter Firebase Course","","","",""
"Code With Andrea","08/04/2019 09:05","08/04/2019 11:50","2.75","","Flutter Firebase Course","","","",""
"Code With Andrea","08/04/2019 15:00","08/04/2019 16:25","1.42","","Development","","","",""
"Code With Andrea","08/04/2019 16:30","08/04/2019 17:30","1","","Flutter Firebase Course","","","",""
"Code With Andrea","08/04/2019 20:20","08/04/2019 21:20","1","","Flutter Firebase Course","","","",""
"Code With Andrea","11/04/2019 20:30","11/04/2019 21:00","0.5","","Community engagement","","","",""
"Code With Andrea","11/04/2019 21:00","11/04/2019 21:45","0.75","","Development","","","",""
"Code With Andrea","12/04/2019 08:40","12/04/2019 13:15","4.58","","Flutter Firebase Course","","","",""
"Code With Andrea","12/04/2019 13:50","12/04/2019 14:15","0.42","","Flutter Firebase Course","","","",""
"Code With Andrea","12/04/2019 14:20","12/04/2019 15:45","1.42","","Flutter Firebase Course","","","",""
"Code With Andrea","14/04/2019 21:00","14/04/2019 21:15","0.25","","Community engagement","","","",""
"Code With Andrea","15/04/2019 10:20","15/04/2019 10:30","0.17","","Flutter Firebase Course","","","",""
"Code With Andrea","15/04/2019 10:30","15/04/2019 11:15","0.75","","Development","","","",""
"Code With Andrea","15/04/2019 11:15","15/04/2019 12:05","0.83","","Flutter Firebase Course","","","",""
"Code With Andrea","15/04/2019 13:00","15/04/2019 14:30","1.5","","Flutter Firebase Course","","","",""
"Code With Andrea","15/04/2019 16:35","15/04/2019 17:35","1","","Development","","","",""
"Code With Andrea","15/04/2019 20:30","15/04/2019 22:00","1.5","","Development","","","",""
"Code With Andrea","16/04/2019 20:30","16/04/2019 22:15","1.75","","Flutter Firebase Course","","","",""
"Code With Andrea","17/04/2019 20:30","17/04/2019 21:30","1","","Development","","","",""
"Code With Andrea","18/04/2019 06:00","18/04/2019 06:40","0.67","","Development","","","",""
"Code With Andrea","22/04/2019 20:45","22/04/2019 23:00","2.25","","Flutter Firebase Course","","","",""
"Code With Andrea","23/04/2019 21:00","23/04/2019 21:35","0.58","","Flutter Firebase Course","","","",""
"Code With Andrea","24/04/2019 21:00","24/04/2019 21:30","0.5","","Flutter Firebase Course","","","",""
"Code With Andrea","25/04/2019 08:45","25/04/2019 10:45","2","","Flutter Firebase Course","","","",""
"Code With Andrea","25/04/2019 10:45","25/04/2019 12:30","1.75","","Flutter Firebase Course","","","",""
"Code With Andrea","25/04/2019 15:15","25/04/2019 16:40","1.42","","Flutter Firebase Course","","","",""
"Code With Andrea","25/04/2019 16:45","25/04/2019 17:15","0.5","","Community engagement","","","",""
"Code With Andrea","25/04/2019 21:30","26/04/2019 00:15","2.75","","","","","",""
"Code With Andrea","26/04/2019 09:00","26/04/2019 10:30","1.5","","Flutter Firebase Course","","","",""
"Code With Andrea","26/04/2019 11:25","26/04/2019 12:45","1.33","","Flutter Firebase Course","","","",""
"Code With Andrea","26/04/2019 13:55","26/04/2019 16:25","2.5","","Flutter Firebase Course","","","",""
"Code With Andrea","26/04/2019 21:00","26/04/2019 22:55","1.92","","Blogging","","","",""
"Code With Andrea","27/04/2019 22:00","27/04/2019 22:55","0.92","","Blogging","","","",""
"Code With Andrea","28/04/2019 14:30","28/04/2019 15:00","0.5","","Community engagement","","","",""
"Code With Andrea","28/04/2019 15:00","28/04/2019 16:00","1","","Blogging","","","",""
"Code With Andrea","28/04/2019 21:30","28/04/2019 23:05","1.58","","Blogging","","","",""
"Code With Andrea","29/04/2019 10:35","29/04/2019 13:15","2.67","","Flutter Firebase Course","","","",""
"Code With Andrea","29/04/2019 15:50","29/04/2019 16:15","0.42","","Promotion","","","",""
"Code With Andrea","29/04/2019 16:15","29/04/2019 17:20","1.08","","Flutter Firebase Course","","","",""
"Code With Andrea","01/05/2019 20:30","01/05/2019 22:00","1.5","","Development","","","",""
"Code With Andrea","02/05/2019 21:15","02/05/2019 23:00","1.75","","Flutter Firebase Course","","","",""
"Code With Andrea","03/05/2019 08:25","03/05/2019 10:00","1.58","","Flutter Firebase Course","","","",""
"Code With Andrea","03/05/2019 13:10","03/05/2019 16:05","2.92","","Flutter Firebase Course","","","",""
"Code With Andrea","04/05/2019 21:00","04/05/2019 22:00","1","","Development","","","",""
"Code With Andrea","07/05/2019 22:00","07/05/2019 23:00","1","","Promotion","","","",""
"Code With Andrea","08/05/2019 21:00","08/05/2019 22:00","1","","","","","",""
"Code With Andrea","09/05/2019 21:00","09/05/2019 21:30","0.5","","Development","","","",""
"Code With Andrea","10/05/2019 09:00","10/05/2019 12:25","3.42","","Promotion","","","",""
"Code With Andrea","10/05/2019 13:30","10/05/2019 15:25","1.92","","Flutter Firebase Course","","","",""
"Code With Andrea","11/05/2019 11:30","11/05/2019 12:30","1","","","","","",""
"Code With Andrea","11/05/2019 16:00","11/05/2019 17:20","1.33","","Development","","","",""
"Code With Andrea","11/05/2019 20:45","11/05/2019 21:45","1","","Blogging","","","",""
"Code With Andrea","12/05/2019 17:30","12/05/2019 18:00","0.5","","Community engagement","","","",""
"Code With Andrea","12/05/2019 20:30","12/05/2019 22:00","1.5","","Blogging","","","",""
"Code With Andrea","13/05/2019 10:45","13/05/2019 12:40","1.92","","Promotion","","","",""
"Code With Andrea","13/05/2019 13:10","13/05/2019 14:15","1.08","","Promotion","","","",""
"Code With Andrea","13/05/2019 14:15","13/05/2019 16:45","2.5","","Flutter Firebase Course","","","",""
"Code With Andrea","13/05/2019 21:00","13/05/2019 21:35","0.58","","","","","",""
"Code With Andrea","14/05/2019 21:05","14/05/2019 21:40","0.58","","Development","","","",""
"Code With Andrea","16/05/2019 08:45","16/05/2019 09:30","0.75","","Development","","","",""
"Code With Andrea","16/05/2019 15:00","16/05/2019 16:30","1.5","","Flutter Firebase Course","","","",""
"Code With Andrea","16/05/2019 20:30","16/05/2019 21:50","1.33","","","","","",""
"Code With Andrea","17/05/2019 08:45","17/05/2019 09:00","0.25","","Community engagement","","","",""
"Code With Andrea","17/05/2019 09:00","17/05/2019 12:55","3.92","","Flutter Firebase Course","","","",""
"Code With Andrea","17/05/2019 13:45","17/05/2019 14:45","1","","Flutter Firebase Course","","","",""
"Code With Andrea","17/05/2019 14:45","17/05/2019 15:10","0.42","","Flutter Firebase Course","","","",""
"Code With Andrea","17/05/2019 15:10","17/05/2019 16:10","1","","Blogging","","","",""
"Code With Andrea","17/05/2019 16:10","17/05/2019 16:40","0.5","","","","","",""
"Code With Andrea","17/05/2019 21:00","17/05/2019 22:00","1","","Development","","","",""
"Code With Andrea","19/05/2019 20:30","19/05/2019 21:00","0.5","","Website / Setup","","","",""
"Code With Andrea","19/05/2019 21:00","19/05/2019 21:05","0.08","","Community engagement","","","",""
"Code With Andrea","20/05/2019 08:30","20/05/2019 09:00","0.5","","Promotion","","","",""
"Code With Andrea","20/05/2019 09:05","20/05/2019 12:15","3.17","","Flutter Firebase Course","","","",""
"Code With Andrea","20/05/2019 13:00","20/05/2019 14:40","1.67","","Flutter Firebase Course","","","",""
"Code With Andrea","20/05/2019 14:45","20/05/2019 15:25","0.67","","Blogging","","","",""
"Code With Andrea","20/05/2019 21:00","20/05/2019 21:30","0.5","","Blogging","","","",""
"Code With Andrea","21/05/2019 20:45","21/05/2019 22:00","1.25","","Blogging","","","",""
"Code With Andrea","22/05/2019 21:10","22/05/2019 21:40","0.5","","Community engagement","","","",""
"Code With Andrea","24/05/2019 11:30","24/05/2019 12:10","0.67","","Flutter Firebase Course","","","",""
"Code With Andrea","24/05/2019 12:45","24/05/2019 13:40","0.92","","Flutter Firebase Course","","","",""
"Code With Andrea","24/05/2019 13:40","24/05/2019 15:25","1.75","","","","","",""
"Code With Andrea","24/05/2019 21:15","24/05/2019 22:45","1.5","","Website / Setup","","","",""
"Code With Andrea","26/05/2019 21:00","26/05/2019 22:25","1.42","","Blogging","","","",""
"Code With Andrea","27/05/2019 21:00","27/05/2019 21:45","0.75","","","","","",""
"Code With Andrea","30/05/2019 16:00","30/05/2019 17:00","1","","Flutter Firebase Course","","","",""
"Code With Andrea","31/05/2019 08:30","31/05/2019 10:30","2","","Flutter Firebase Course","","","",""
"Code With Andrea","31/05/2019 11:30","31/05/2019 12:45","1.25","","Blogging","","","",""
"Code With Andrea","31/05/2019 13:40","31/05/2019 14:40","1","","Blogging","","","",""
"Code With Andrea","31/05/2019 21:45","31/05/2019 22:00","0.25","","Blogging","","","",""
"Code With Andrea","01/06/2019 11:40","01/06/2019 12:10","0.5","","Community engagement","","","",""
"Code With Andrea","02/06/2019 20:30","02/06/2019 20:45","0.25","","Community engagement","","","",""
"Code With Andrea","03/06/2019 08:25","03/06/2019 09:25","1","","Blogging","","","",""
"Code With Andrea","03/06/2019 09:30","03/06/2019 12:45","3.25","","Flutter Firebase Course","","","",""
"Code With Andrea","03/06/2019 14:00","03/06/2019 16:55","2.92","","Flutter Firebase Course","","","",""
"Code With Andrea","04/06/2019 21:20","04/06/2019 22:25","1.08","","Blogging","","","",""
"Code With Andrea","05/06/2019 20:00","05/06/2019 20:30","0.5","","Community engagement","","","",""
"Code With Andrea","06/06/2019 10:50","06/06/2019 12:45","1.92","","Flutter Firebase Course","","","",""
"Code With Andrea","06/06/2019 13:40","06/06/2019 15:10","1.5","","Flutter Firebase Course","","","",""
"Code With Andrea","06/06/2019 17:30","06/06/2019 18:45","1.25","","Flutter Firebase Course","","","",""
"Code With Andrea","07/06/2019 08:30","07/06/2019 08:50","0.33","","Flutter Firebase Course","","","",""
"Code With Andrea","07/06/2019 16:40","07/06/2019 17:30","0.83","","Blogging","","","",""
"Code With Andrea","08/06/2019 21:00","08/06/2019 23:00","2","","Blogging","","","",""
"Code With Andrea","09/06/2019 21:40","09/06/2019 22:35","0.92","","Blogging","","","",""
"Code With Andrea","10/06/2019 08:40","10/06/2019 09:35","0.92","","Blogging","","","",""
"Code With Andrea","10/06/2019 09:45","10/06/2019 10:45","1","","Flutter Firebase Course","","","",""
"Code With Andrea","10/06/2019 10:45","10/06/2019 12:30","1.75","","Flutter Firebase Course","","","",""
"Code With Andrea","10/06/2019 13:05","10/06/2019 14:45","1.67","","Flutter Firebase Course","","","",""
"Code With Andrea","10/06/2019 17:00","10/06/2019 17:20","0.33","","Flutter Firebase Course","","","",""
"Code With Andrea","14/06/2019 08:45","14/06/2019 09:55","1.17","","Flutter Firebase Course","","","",""
"Code With Andrea","14/06/2019 10:35","14/06/2019 12:35","2","","YouTube Production","","","",""
"Code With Andrea","14/06/2019 13:35","14/06/2019 15:30","1.92","","YouTube Production","","","",""
"Code With Andrea","14/06/2019 15:30","14/06/2019 15:55","0.42","","Flutter Firebase Course","","","",""
"Code With Andrea","14/06/2019 17:05","14/06/2019 17:35","0.5","","Development","","","",""
"Code With Andrea","14/06/2019 20:55","14/06/2019 21:55","1","","Development","","","",""
"Code With Andrea","15/06/2019 05:00","15/06/2019 06:30","1.5","","Development","","","",""
"Code With Andrea","15/06/2019 16:40","15/06/2019 17:05","0.42","","Development","","","",""
"Code With Andrea","15/06/2019 17:15","15/06/2019 18:00","0.75","","Development","","","",""
"Code With Andrea","17/06/2019 09:30","17/06/2019 10:00","0.5","","Flutter Firebase Course","","","",""
"Code With Andrea","17/06/2019 10:00","17/06/2019 11:00","1","","Blogging","","","",""
"Code With Andrea","17/06/2019 16:55","17/06/2019 17:55","1","","Blogging","","","",""
"Code With Andrea","18/06/2019 09:00","18/06/2019 11:05","2.08","","YouTube Production","","","",""
"Code With Andrea","18/06/2019 11:05","18/06/2019 12:35","1.5","","YouTube Production","","","",""
"Code With Andrea","18/06/2019 13:30","18/06/2019 16:10","2.67","","YouTube Production","","","",""
"Code With Andrea","01/07/2019 09:15","01/07/2019 09:40","0.42","","Community engagement","","","",""
"Code With Andrea","01/07/2019 09:40","01/07/2019 11:20","1.67","","Flutter Firebase Course","","","",""
"Code With Andrea","01/07/2019 13:25","01/07/2019 13:55","0.5","","Flutter Firebase Course","","","",""
"Code With Andrea","01/07/2019 13:55","01/07/2019 14:10","0.25","","Community engagement","","","",""
"Code With Andrea","01/07/2019 14:10","01/07/2019 14:20","0.17","","Promotion","","","",""
"Code With Andrea","01/07/2019 14:25","01/07/2019 15:45","1.33","","Flutter Firebase Course","","","",""
"Code With Andrea","01/07/2019 15:45","01/07/2019 16:00","0.25","","Flutter Firebase Course","","","",""
"Code With Andrea","01/07/2019 16:00","01/07/2019 16:35","0.58","","","","","",""
"Code With Andrea","03/07/2019 08:45","03/07/2019 11:55","3.17","","Flutter Firebase Course","","","",""
"Code With Andrea","03/07/2019 14:15","03/07/2019 15:00","0.75","","Flutter Firebase Course","","","",""
"Code With Andrea","03/07/2019 15:40","03/07/2019 16:20","0.67","","Flutter Firebase Course","","","",""
"Code With Andrea","03/07/2019 16:20","03/07/2019 17:40","1.33","","Flutter Firebase Course","","","",""
"Code With Andrea","03/07/2019 21:00","03/07/2019 21:10","0.17","","Flutter Firebase Course","","","",""
"Code With Andrea","04/07/2019 09:05","04/07/2019 12:25","3.33","","Flutter Firebase Course","","","",""
"Code With Andrea","04/07/2019 15:15","04/07/2019 16:30","1.25","","Flutter Firebase Course","","","",""
"Code With Andrea","04/07/2019 16:30","04/07/2019 17:05","0.58","","Flutter Firebase Course","","","",""
"Code With Andrea","04/07/2019 21:15","04/07/2019 22:00","0.75","","Flutter Firebase Course","","","",""
"Code With Andrea","05/07/2019 13:00","05/07/2019 17:20","4.33","","Flutter Firebase Course","","","",""
"Code With Andrea","08/07/2019 10:30","08/07/2019 12:50","2.33","","YouTube Production","","","",""
"Code With Andrea","08/07/2019 14:10","08/07/2019 17:30","3.33","","","","","",""
"Code With Andrea","08/07/2019 20:35","08/07/2019 22:00","1.42","","","","","",""
"Code With Andrea","08/07/2019 22:20","08/07/2019 22:50","0.5","","Community engagement","","","",""
"Code With Andrea","09/07/2019 05:40","09/07/2019 07:20","1.67","","Blogging","","","",""
"Code With Andrea","09/07/2019 08:55","09/07/2019 11:05","2.17","","Blogging","","","",""
"Code With Andrea","09/07/2019 14:50","09/07/2019 15:10","0.33","","Development","","","",""
"Code With Andrea","09/07/2019 15:10","09/07/2019 16:00","0.83","","Flutter Firebase Course","","","",""
"Code With Andrea","09/07/2019 16:00","09/07/2019 16:20","0.33","","Flutter Firebase Course","","","",""
"Code With Andrea","11/07/2019 08:50","11/07/2019 09:15","0.42","","Community engagement","","","",""
"Code With Andrea","11/07/2019 09:15","11/07/2019 11:25","2.17","","","","","",""
"Code With Andrea","11/07/2019 14:35","11/07/2019 16:00","1.42","","Flutter Firebase Course","","","",""
"Code With Andrea","11/07/2019 17:00","11/07/2019 17:25","0.42","","Flutter Firebase Course","","","",""
"Code With Andrea","11/07/2019 17:25","11/07/2019 17:50","0.42","","Development","","","",""
"Code With Andrea","12/07/2019 08:45","12/07/2019 10:25","1.67","","Flutter Firebase Course","","","",""
"Code With Andrea","12/07/2019 10:25","12/07/2019 11:00","0.58","","Development","","","",""
"Code With Andrea","12/07/2019 14:00","12/07/2019 14:40","0.67","","Flutter Firebase Course","","","",""
"Code With Andrea","12/07/2019 14:40","12/07/2019 15:20","0.67","","Development","","","",""
"Code With Andrea","12/07/2019 15:20","12/07/2019 16:20","1","","Development","","","",""
"Code With Andrea","15/07/2019 10:35","15/07/2019 12:30","1.92","","YouTube Production","","","",""
